feature,shap_mean_abs,shap_std
% OP,3.727051177936716,1.1265147018708768
social interaction time,3.5625565700384665,1.7417629579080443
tCENT,3.4017759740898263,1.8698214540801652
body weight,3.1470888637900956,0.8567068228853649
locomotor activity,2.6182908780108574,0.6209070265496505
tCL,2.49247113628396,1.9206531307738606
sucrose intake,2.1185565595280953,1.0604298191766546
social events,0.9333728200333287,0.6271174087651004
0P (entries),0.7502065310299013,0.925645742970122
CL (entries),0.500215425737273,0.6606607086926863
NOR index,0.03700943411405206,0.025901936446822572
